INSERT INTO BES.Exams VALUES(1,'ExamsName-1','ExamsDescription-1');
INSERT INTO BES.Exams VALUES(39,'ExamsName-39','ExamsDescription-39');
INSERT INTO BES.Exams VALUES(40,'ExamsName-40','ExamsDescription-40');
INSERT INTO BES.Exams VALUES(41,'ExamsName-41','ExamsDescription-41');
INSERT INTO BES.Exams VALUES(42,'ExamsName-42','ExamsDescription-42');
INSERT INTO BES.Exams VALUES(43,'ExamsName-43','ExamsDescription-43');
INSERT INTO BES.Exams VALUES(44,'ExamsName-44','ExamsDescription-44');
INSERT INTO BES.Exams VALUES(45,'ExamsName-45','ExamsDescription-45');
INSERT INTO BES.Exams VALUES(46,'ExamsName-46','ExamsDescription-46');
INSERT INTO BES.Exams VALUES(47,'ExamsName-47','ExamsDescription-47');
INSERT INTO BES.Exams VALUES(48,'ExamsName-48','ExamsDescription-48');
INSERT INTO BES.Exams VALUES(49,'ExamsName-49','ExamsDescription-49');
INSERT INTO BES.Exams VALUES(50,'ExamsName-50','ExamsDescription-50');
INSERT INTO BES.Exams VALUES(51,'ExamsName-51','ExamsDescription-51');
INSERT INTO BES.Exams VALUES(52,'ExamsName-52','ExamsDescription-52');
INSERT INTO BES.Exams VALUES(53,'ExamsName-53','ExamsDescription-53');
INSERT INTO BES.Exams VALUES(54,'ExamsName-54','ExamsDescription-54');
INSERT INTO BES.Exams VALUES(55,'ExamsName-55','ExamsDescription-55');
INSERT INTO BES.Exams VALUES(56,'ExamsName-56','ExamsDescription-56');
INSERT INTO BES.Exams VALUES(57,'ExamsName-57','ExamsDescription-57');
INSERT INTO BES.Exams VALUES(58,'ExamsName-58','ExamsDescription-58');
INSERT INTO BES.Exams VALUES(59,'ExamsName-59','ExamsDescription-59');
INSERT INTO BES.Exams VALUES(60,'ExamsName-60','ExamsDescription-60');
INSERT INTO BES.Exams VALUES(61,'ExamsName-61','ExamsDescription-61');
INSERT INTO BES.Exams VALUES(62,'ExamsName-62','ExamsDescription-62');
INSERT INTO BES.Exams VALUES(63,'ExamsName-63','ExamsDescription-63');
INSERT INTO BES.Exams VALUES(64,'ExamsName-64','ExamsDescription-64');
INSERT INTO BES.Exams VALUES(65,'ExamsName-65','ExamsDescription-65');
INSERT INTO BES.Exams VALUES(66,'ExamsName-66','ExamsDescription-66');
INSERT INTO BES.Exams VALUES(67,'ExamsName-67','ExamsDescription-67');
INSERT INTO BES.Exams VALUES(68,'ExamsName-68','ExamsDescription-68');
INSERT INTO BES.Exams VALUES(69,'ExamsName-69','ExamsDescription-69');
INSERT INTO BES.Exams VALUES(70,'ExamsName-70','ExamsDescription-70');
INSERT INTO BES.Exams VALUES(71,'ExamsName-71','ExamsDescription-71');
INSERT INTO BES.Exams VALUES(72,'ExamsName-72','ExamsDescription-72');
INSERT INTO BES.Exams VALUES(73,'ExamsName-73','ExamsDescription-73');
INSERT INTO BES.Exams VALUES(74,'ExamsName-74','ExamsDescription-74');
INSERT INTO BES.Exams VALUES(75,'ExamsName-75','ExamsDescription-75');
INSERT INTO BES.Exams VALUES(76,'ExamsName-76','ExamsDescription-76');
INSERT INTO BES.Exams VALUES(77,'ExamsName-77','ExamsDescription-77');
INSERT INTO BES.Exams VALUES(78,'ExamsName-78','ExamsDescription-78');
INSERT INTO BES.Exams VALUES(79,'ExamsName-79','ExamsDescription-79');
INSERT INTO BES.Exams VALUES(80,'ExamsName-80','ExamsDescription-80');
INSERT INTO BES.Exams VALUES(81,'ExamsName-81','ExamsDescription-81');
INSERT INTO BES.Exams VALUES(82,'ExamsName-82','ExamsDescription-82');
INSERT INTO BES.Exams VALUES(83,'ExamsName-83','ExamsDescription-83');
INSERT INTO BES.Exams VALUES(84,'ExamsName-84','ExamsDescription-84');
INSERT INTO BES.Exams VALUES(85,'ExamsName-85','ExamsDescription-85');
INSERT INTO BES.Exams VALUES(86,'ExamsName-86','ExamsDescription-86');
INSERT INTO BES.Exams VALUES(87,'ExamsName-87','ExamsDescription-87');
INSERT INTO BES.Exams VALUES(88,'ExamsName-88','ExamsDescription-88');
INSERT INTO BES.Exams VALUES(89,'ExamsName-89','ExamsDescription-89');
INSERT INTO BES.Exams VALUES(90,'ExamsName-90','ExamsDescription-90');
INSERT INTO BES.Exams VALUES(91,'ExamsName-91','ExamsDescription-91');
INSERT INTO BES.Exams VALUES(92,'ExamsName-92','ExamsDescription-92');
INSERT INTO BES.Exams VALUES(93,'ExamsName-93','ExamsDescription-93');
INSERT INTO BES.Exams VALUES(94,'ExamsName-94','ExamsDescription-94');
INSERT INTO BES.Exams VALUES(95,'ExamsName-95','ExamsDescription-95');
INSERT INTO BES.Exams VALUES(96,'ExamsName-96','ExamsDescription-96');
INSERT INTO BES.Exams VALUES(97,'ExamsName-97','ExamsDescription-97');
INSERT INTO BES.Exams VALUES(98,'ExamsName-98','ExamsDescription-98');
INSERT INTO BES.Exams VALUES(99,'ExamsName-99','ExamsDescription-99');
INSERT INTO BES.Exams VALUES(100,'ExamsName-100','ExamsDescription-100');
INSERT INTO BES.Exams VALUES(101,'ExamsName-101','ExamsDescription-101');
INSERT INTO BES.Exams VALUES(102,'ExamsName-102','ExamsDescription-102');
INSERT INTO BES.Exams VALUES(103,'ExamsName-103','ExamsDescription-103');
INSERT INTO BES.Exams VALUES(104,'ExamsName-104','ExamsDescription-104');
INSERT INTO BES.Exams VALUES(105,'ExamsName-105','ExamsDescription-105');
INSERT INTO BES.Exams VALUES(106,'ExamsName-106','ExamsDescription-106');
INSERT INTO BES.Exams VALUES(107,'ExamsName-107','ExamsDescription-107');
INSERT INTO BES.Exams VALUES(108,'ExamsName-108','ExamsDescription-108');
INSERT INTO BES.Exams VALUES(109,'ExamsName-109','ExamsDescription-109');
INSERT INTO BES.Exams VALUES(110,'ExamsName-110','ExamsDescription-110');
INSERT INTO BES.Exams VALUES(111,'ExamsName-111','ExamsDescription-111');
INSERT INTO BES.Exams VALUES(112,'ExamsName-112','ExamsDescription-112');
INSERT INTO BES.Exams VALUES(113,'ExamsName-113','ExamsDescription-113');
INSERT INTO BES.Exams VALUES(114,'ExamsName-114','ExamsDescription-114');
INSERT INTO BES.Exams VALUES(115,'ExamsName-115','ExamsDescription-115');
INSERT INTO BES.Exams VALUES(116,'ExamsName-116','ExamsDescription-116');
INSERT INTO BES.Exams VALUES(117,'ExamsName-117','ExamsDescription-117');
INSERT INTO BES.Exams VALUES(118,'ExamsName-118','ExamsDescription-118');
INSERT INTO BES.Exams VALUES(119,'ExamsName-119','ExamsDescription-119');
INSERT INTO BES.Exams VALUES(120,'ExamsName-120','ExamsDescription-120');
INSERT INTO BES.Exams VALUES(121,'ExamsName-121','ExamsDescription-121');
INSERT INTO BES.Exams VALUES(122,'ExamsName-122','ExamsDescription-122');
INSERT INTO BES.Exams VALUES(123,'ExamsName-123','ExamsDescription-123');
INSERT INTO BES.Exams VALUES(124,'ExamsName-124','ExamsDescription-124');
INSERT INTO BES.Exams VALUES(125,'ExamsName-125','ExamsDescription-125');
INSERT INTO BES.Exams VALUES(126,'ExamsName-126','ExamsDescription-126');
INSERT INTO BES.Exams VALUES(127,'ExamsName-127','ExamsDescription-127');
INSERT INTO BES.Exams VALUES(128,'ExamsName-128','ExamsDescription-128');
INSERT INTO BES.Exams VALUES(129,'ExamsName-129','ExamsDescription-129');
INSERT INTO BES.Exams VALUES(130,'ExamsName-130','ExamsDescription-130');
INSERT INTO BES.Exams VALUES(131,'ExamsName-131','ExamsDescription-131');
INSERT INTO BES.Exams VALUES(132,'ExamsName-132','ExamsDescription-132');
INSERT INTO BES.Exams VALUES(133,'ExamsName-133','ExamsDescription-133');
INSERT INTO BES.Exams VALUES(134,'ExamsName-134','ExamsDescription-134');
INSERT INTO BES.Exams VALUES(135,'ExamsName-135','ExamsDescription-135');
INSERT INTO BES.Exams VALUES(136,'ExamsName-136','ExamsDescription-136');
INSERT INTO BES.Exams VALUES(137,'ExamsName-137','ExamsDescription-137');
INSERT INTO BES.Exams VALUES(138,'ExamsName-138','ExamsDescription-138');
INSERT INTO BES.Exams VALUES(139,'ExamsName-139','ExamsDescription-139');
INSERT INTO BES.Exams VALUES(140,'ExamsName-140','ExamsDescription-140');
INSERT INTO BES.Exams VALUES(141,'ExamsName-141','ExamsDescription-141');
INSERT INTO BES.Exams VALUES(142,'ExamsName-142','ExamsDescription-142');
INSERT INTO BES.Exams VALUES(143,'ExamsName-143','ExamsDescription-143');
INSERT INTO BES.Exams VALUES(144,'ExamsName-144','ExamsDescription-144');
INSERT INTO BES.Exams VALUES(145,'ExamsName-145','ExamsDescription-145');
INSERT INTO BES.Exams VALUES(146,'ExamsName-146','ExamsDescription-146');
INSERT INTO BES.Exams VALUES(147,'ExamsName-147','ExamsDescription-147');
INSERT INTO BES.Exams VALUES(148,'ExamsName-148','ExamsDescription-148');
INSERT INTO BES.Exams VALUES(149,'ExamsName-149','ExamsDescription-149');
INSERT INTO BES.Exams VALUES(150,'ExamsName-150','ExamsDescription-150');
INSERT INTO BES.Exams VALUES(151,'ExamsName-151','ExamsDescription-151');
INSERT INTO BES.Exams VALUES(152,'ExamsName-152','ExamsDescription-152');
INSERT INTO BES.Exams VALUES(153,'ExamsName-153','ExamsDescription-153');
INSERT INTO BES.Exams VALUES(154,'ExamsName-154','ExamsDescription-154');
INSERT INTO BES.Exams VALUES(155,'ExamsName-155','ExamsDescription-155');
INSERT INTO BES.Exams VALUES(156,'ExamsName-156','ExamsDescription-156');
INSERT INTO BES.Exams VALUES(157,'ExamsName-157','ExamsDescription-157');
INSERT INTO BES.Exams VALUES(158,'ExamsName-158','ExamsDescription-158');
INSERT INTO BES.Exams VALUES(159,'ExamsName-159','ExamsDescription-159');
INSERT INTO BES.Exams VALUES(160,'ExamsName-160','ExamsDescription-160');
INSERT INTO BES.Exams VALUES(161,'ExamsName-161','ExamsDescription-161');
INSERT INTO BES.Exams VALUES(162,'ExamsName-162','ExamsDescription-162');
INSERT INTO BES.Exams VALUES(163,'ExamsName-163','ExamsDescription-163');
INSERT INTO BES.Exams VALUES(164,'ExamsName-164','ExamsDescription-164');
INSERT INTO BES.Exams VALUES(165,'ExamsName-165','ExamsDescription-165');
INSERT INTO BES.Exams VALUES(166,'ExamsName-166','ExamsDescription-166');
INSERT INTO BES.Exams VALUES(167,'ExamsName-167','ExamsDescription-167');
INSERT INTO BES.Exams VALUES(168,'ExamsName-168','ExamsDescription-168');
INSERT INTO BES.Exams VALUES(169,'ExamsName-169','ExamsDescription-169');
INSERT INTO BES.Exams VALUES(170,'ExamsName-170','ExamsDescription-170');
INSERT INTO BES.Exams VALUES(171,'ExamsName-171','ExamsDescription-171');
INSERT INTO BES.Exams VALUES(172,'ExamsName-172','ExamsDescription-172');
INSERT INTO BES.Exams VALUES(173,'ExamsName-173','ExamsDescription-173');
INSERT INTO BES.Exams VALUES(174,'ExamsName-174','ExamsDescription-174');
INSERT INTO BES.Exams VALUES(175,'ExamsName-175','ExamsDescription-175');
INSERT INTO BES.Exams VALUES(176,'ExamsName-176','ExamsDescription-176');
INSERT INTO BES.Exams VALUES(177,'ExamsName-177','ExamsDescription-177');
INSERT INTO BES.Exams VALUES(178,'ExamsName-178','ExamsDescription-178');
INSERT INTO BES.Exams VALUES(179,'ExamsName-179','ExamsDescription-179');
INSERT INTO BES.Exams VALUES(180,'ExamsName-180','ExamsDescription-180');
INSERT INTO BES.Exams VALUES(181,'ExamsName-181','ExamsDescription-181');
INSERT INTO BES.Exams VALUES(182,'ExamsName-182','ExamsDescription-182');
INSERT INTO BES.Exams VALUES(183,'ExamsName-183','ExamsDescription-183');
INSERT INTO BES.Exams VALUES(184,'ExamsName-184','ExamsDescription-184');
INSERT INTO BES.Exams VALUES(185,'ExamsName-185','ExamsDescription-185');
INSERT INTO BES.Exams VALUES(186,'ExamsName-186','ExamsDescription-186');
INSERT INTO BES.Exams VALUES(187,'ExamsName-187','ExamsDescription-187');
INSERT INTO BES.Exams VALUES(188,'ExamsName-188','ExamsDescription-188');
INSERT INTO BES.Exams VALUES(189,'ExamsName-189','ExamsDescription-189');
INSERT INTO BES.Exams VALUES(190,'ExamsName-190','ExamsDescription-190');
INSERT INTO BES.Exams VALUES(191,'ExamsName-191','ExamsDescription-191');
INSERT INTO BES.Exams VALUES(192,'ExamsName-192','ExamsDescription-192');
INSERT INTO BES.Exams VALUES(193,'ExamsName-193','ExamsDescription-193');
INSERT INTO BES.Exams VALUES(194,'ExamsName-194','ExamsDescription-194');
INSERT INTO BES.Exams VALUES(195,'ExamsName-195','ExamsDescription-195');
INSERT INTO BES.Exams VALUES(196,'ExamsName-196','ExamsDescription-196');
INSERT INTO BES.Exams VALUES(197,'ExamsName-197','ExamsDescription-197');
INSERT INTO BES.Exams VALUES(198,'ExamsName-198','ExamsDescription-198');
INSERT INTO BES.Exams VALUES(199,'ExamsName-199','ExamsDescription-199');
INSERT INTO BES.Exams VALUES(200,'ExamsName-200','ExamsDescription-200');
INSERT INTO BES.Exams VALUES(201,'ExamsName-201','ExamsDescription-201');
INSERT INTO BES.Exams VALUES(202,'ExamsName-202','ExamsDescription-202');
INSERT INTO BES.Exams VALUES(203,'ExamsName-203','ExamsDescription-203');
INSERT INTO BES.Exams VALUES(204,'ExamsName-204','ExamsDescription-204');
INSERT INTO BES.Exams VALUES(205,'ExamsName-205','ExamsDescription-205');
INSERT INTO BES.Exams VALUES(206,'ExamsName-206','ExamsDescription-206');
INSERT INTO BES.Exams VALUES(207,'ExamsName-207','ExamsDescription-207');
INSERT INTO BES.Exams VALUES(208,'ExamsName-208','ExamsDescription-208');
INSERT INTO BES.Exams VALUES(209,'ExamsName-209','ExamsDescription-209');
INSERT INTO BES.Exams VALUES(210,'ExamsName-210','ExamsDescription-210');
INSERT INTO BES.Exams VALUES(211,'ExamsName-211','ExamsDescription-211');
INSERT INTO BES.Exams VALUES(212,'ExamsName-212','ExamsDescription-212');
INSERT INTO BES.Exams VALUES(213,'ExamsName-213','ExamsDescription-213');
INSERT INTO BES.Exams VALUES(214,'ExamsName-214','ExamsDescription-214');
INSERT INTO BES.Exams VALUES(215,'ExamsName-215','ExamsDescription-215');
INSERT INTO BES.Exams VALUES(216,'ExamsName-216','ExamsDescription-216');
INSERT INTO BES.Exams VALUES(217,'ExamsName-217','ExamsDescription-217');
INSERT INTO BES.Exams VALUES(218,'ExamsName-218','ExamsDescription-218');
INSERT INTO BES.Exams VALUES(219,'ExamsName-219','ExamsDescription-219');
INSERT INTO BES.Exams VALUES(220,'ExamsName-220','ExamsDescription-220');
INSERT INTO BES.Exams VALUES(221,'ExamsName-221','ExamsDescription-221');
INSERT INTO BES.Exams VALUES(222,'ExamsName-222','ExamsDescription-222');
INSERT INTO BES.Exams VALUES(223,'ExamsName-223','ExamsDescription-223');
INSERT INTO BES.Exams VALUES(224,'ExamsName-224','ExamsDescription-224');
INSERT INTO BES.Exams VALUES(225,'ExamsName-225','ExamsDescription-225');
INSERT INTO BES.Exams VALUES(226,'ExamsName-226','ExamsDescription-226');
INSERT INTO BES.Exams VALUES(227,'ExamsName-227','ExamsDescription-227');
INSERT INTO BES.Exams VALUES(228,'ExamsName-228','ExamsDescription-228');
INSERT INTO BES.Exams VALUES(229,'ExamsName-229','ExamsDescription-229');
INSERT INTO BES.Exams VALUES(230,'ExamsName-230','ExamsDescription-230');
INSERT INTO BES.Exams VALUES(231,'ExamsName-231','ExamsDescription-231');
INSERT INTO BES.Exams VALUES(232,'ExamsName-232','ExamsDescription-232');
INSERT INTO BES.Exams VALUES(233,'ExamsName-233','ExamsDescription-233');
INSERT INTO BES.Exams VALUES(234,'ExamsName-234','ExamsDescription-234');
INSERT INTO BES.Exams VALUES(235,'ExamsName-235','ExamsDescription-235');
INSERT INTO BES.Exams VALUES(236,'ExamsName-236','ExamsDescription-236');
INSERT INTO BES.Exams VALUES(237,'ExamsName-237','ExamsDescription-237');
INSERT INTO BES.Exams VALUES(238,'ExamsName-238','ExamsDescription-238');
INSERT INTO BES.Exams VALUES(239,'ExamsName-239','ExamsDescription-239');
INSERT INTO BES.Exams VALUES(240,'ExamsName-240','ExamsDescription-240');
INSERT INTO BES.Exams VALUES(241,'ExamsName-241','ExamsDescription-241');
INSERT INTO BES.Exams VALUES(242,'ExamsName-242','ExamsDescription-242');
INSERT INTO BES.Exams VALUES(243,'ExamsName-243','ExamsDescription-243');
INSERT INTO BES.Exams VALUES(244,'ExamsName-244','ExamsDescription-244');
INSERT INTO BES.Exams VALUES(245,'ExamsName-245','ExamsDescription-245');
INSERT INTO BES.Exams VALUES(246,'ExamsName-246','ExamsDescription-246');
INSERT INTO BES.Exams VALUES(247,'ExamsName-247','ExamsDescription-247');
INSERT INTO BES.Exams VALUES(248,'ExamsName-248','ExamsDescription-248');
INSERT INTO BES.Exams VALUES(249,'ExamsName-249','ExamsDescription-249');
INSERT INTO BES.Exams VALUES(250,'ExamsName-250','ExamsDescription-250');
INSERT INTO BES.Exams VALUES(251,'ExamsName-251','ExamsDescription-251');
INSERT INTO BES.Exams VALUES(252,'ExamsName-252','ExamsDescription-252');
INSERT INTO BES.Exams VALUES(253,'ExamsName-253','ExamsDescription-253');
INSERT INTO BES.Exams VALUES(254,'ExamsName-254','ExamsDescription-254');
INSERT INTO BES.Exams VALUES(255,'ExamsName-255','ExamsDescription-255');
INSERT INTO BES.Exams VALUES(256,'ExamsName-256','ExamsDescription-256');
INSERT INTO BES.Exams VALUES(257,'ExamsName-257','ExamsDescription-257');
INSERT INTO BES.Exams VALUES(258,'ExamsName-258','ExamsDescription-258');
INSERT INTO BES.Exams VALUES(259,'ExamsName-259','ExamsDescription-259');
INSERT INTO BES.Exams VALUES(260,'ExamsName-260','ExamsDescription-260');
INSERT INTO BES.Exams VALUES(261,'ExamsName-261','ExamsDescription-261');
INSERT INTO BES.Exams VALUES(262,'ExamsName-262','ExamsDescription-262');
INSERT INTO BES.Exams VALUES(263,'ExamsName-263','ExamsDescription-263');
INSERT INTO BES.Exams VALUES(264,'ExamsName-264','ExamsDescription-264');
INSERT INTO BES.Exams VALUES(265,'ExamsName-265','ExamsDescription-265');
INSERT INTO BES.Exams VALUES(266,'ExamsName-266','ExamsDescription-266');
INSERT INTO BES.Exams VALUES(267,'ExamsName-267','ExamsDescription-267');
INSERT INTO BES.Exams VALUES(268,'ExamsName-268','ExamsDescription-268');
INSERT INTO BES.Exams VALUES(269,'ExamsName-269','ExamsDescription-269');
INSERT INTO BES.Exams VALUES(270,'ExamsName-270','ExamsDescription-270');
INSERT INTO BES.Exams VALUES(271,'ExamsName-271','ExamsDescription-271');
INSERT INTO BES.Exams VALUES(272,'ExamsName-272','ExamsDescription-272');
INSERT INTO BES.Exams VALUES(273,'ExamsName-273','ExamsDescription-273');
INSERT INTO BES.Exams VALUES(274,'ExamsName-274','ExamsDescription-274');
INSERT INTO BES.Exams VALUES(275,'ExamsName-275','ExamsDescription-275');
INSERT INTO BES.Exams VALUES(276,'ExamsName-276','ExamsDescription-276');
INSERT INTO BES.Exams VALUES(277,'ExamsName-277','ExamsDescription-277');
INSERT INTO BES.Exams VALUES(278,'ExamsName-278','ExamsDescription-278');
INSERT INTO BES.Exams VALUES(279,'ExamsName-279','ExamsDescription-279');
INSERT INTO BES.Exams VALUES(280,'ExamsName-280','ExamsDescription-280');
INSERT INTO BES.Exams VALUES(281,'ExamsName-281','ExamsDescription-281');
INSERT INTO BES.Exams VALUES(282,'ExamsName-282','ExamsDescription-282');
INSERT INTO BES.Exams VALUES(283,'ExamsName-283','ExamsDescription-283');
INSERT INTO BES.Exams VALUES(284,'ExamsName-284','ExamsDescription-284');
INSERT INTO BES.Exams VALUES(285,'ExamsName-285','ExamsDescription-285');
INSERT INTO BES.Exams VALUES(286,'ExamsName-286','ExamsDescription-286');
INSERT INTO BES.Exams VALUES(287,'ExamsName-287','ExamsDescription-287');
INSERT INTO BES.Exams VALUES(288,'ExamsName-288','ExamsDescription-288');
INSERT INTO BES.Exams VALUES(289,'ExamsName-289','ExamsDescription-289');
INSERT INTO BES.Exams VALUES(290,'ExamsName-290','ExamsDescription-290');
INSERT INTO BES.Exams VALUES(291,'ExamsName-291','ExamsDescription-291');
INSERT INTO BES.Exams VALUES(292,'ExamsName-292','ExamsDescription-292');
INSERT INTO BES.Exams VALUES(293,'ExamsName-293','ExamsDescription-293');
INSERT INTO BES.Exams VALUES(294,'ExamsName-294','ExamsDescription-294');
INSERT INTO BES.Exams VALUES(295,'ExamsName-295','ExamsDescription-295');
INSERT INTO BES.Exams VALUES(296,'ExamsName-296','ExamsDescription-296');
INSERT INTO BES.Exams VALUES(297,'ExamsName-297','ExamsDescription-297');
INSERT INTO BES.Exams VALUES(298,'ExamsName-298','ExamsDescription-298');
INSERT INTO BES.Exams VALUES(299,'ExamsName-299','ExamsDescription-299');
INSERT INTO BES.Exams VALUES(300,'ExamsName-300','ExamsDescription-300');
INSERT INTO BES.Exams VALUES(301,'ExamsName-301','ExamsDescription-301');
INSERT INTO BES.Exams VALUES(302,'ExamsName-302','ExamsDescription-302');
INSERT INTO BES.Exams VALUES(303,'ExamsName-303','ExamsDescription-303');
INSERT INTO BES.Exams VALUES(304,'ExamsName-304','ExamsDescription-304');
INSERT INTO BES.Exams VALUES(305,'ExamsName-305','ExamsDescription-305');
INSERT INTO BES.Exams VALUES(306,'ExamsName-306','ExamsDescription-306');
INSERT INTO BES.Exams VALUES(307,'ExamsName-307','ExamsDescription-307');
INSERT INTO BES.Exams VALUES(308,'ExamsName-308','ExamsDescription-308');
INSERT INTO BES.Exams VALUES(309,'ExamsName-309','ExamsDescription-309');
INSERT INTO BES.Exams VALUES(310,'ExamsName-310','ExamsDescription-310');
INSERT INTO BES.Exams VALUES(311,'ExamsName-311','ExamsDescription-311');
INSERT INTO BES.Exams VALUES(312,'ExamsName-312','ExamsDescription-312');
INSERT INTO BES.Exams VALUES(313,'ExamsName-313','ExamsDescription-313');
INSERT INTO BES.Exams VALUES(314,'ExamsName-314','ExamsDescription-314');
INSERT INTO BES.Exams VALUES(315,'ExamsName-315','ExamsDescription-315');
INSERT INTO BES.Exams VALUES(316,'ExamsName-316','ExamsDescription-316');
INSERT INTO BES.Exams VALUES(317,'ExamsName-317','ExamsDescription-317');
INSERT INTO BES.Exams VALUES(318,'ExamsName-318','ExamsDescription-318');
INSERT INTO BES.Exams VALUES(319,'ExamsName-319','ExamsDescription-319');
INSERT INTO BES.Exams VALUES(320,'ExamsName-320','ExamsDescription-320');
INSERT INTO BES.Exams VALUES(321,'ExamsName-321','ExamsDescription-321');
INSERT INTO BES.Exams VALUES(322,'ExamsName-322','ExamsDescription-322');
INSERT INTO BES.Exams VALUES(323,'ExamsName-323','ExamsDescription-323');
INSERT INTO BES.Exams VALUES(324,'ExamsName-324','ExamsDescription-324');
INSERT INTO BES.Exams VALUES(325,'ExamsName-325','ExamsDescription-325');
INSERT INTO BES.Exams VALUES(326,'ExamsName-326','ExamsDescription-326');
INSERT INTO BES.Exams VALUES(327,'ExamsName-327','ExamsDescription-327');
INSERT INTO BES.Exams VALUES(328,'ExamsName-328','ExamsDescription-328');
INSERT INTO BES.Exams VALUES(329,'ExamsName-329','ExamsDescription-329');
INSERT INTO BES.Exams VALUES(330,'ExamsName-330','ExamsDescription-330');
INSERT INTO BES.Exams VALUES(331,'ExamsName-331','ExamsDescription-331');
INSERT INTO BES.Exams VALUES(332,'ExamsName-332','ExamsDescription-332');
INSERT INTO BES.Exams VALUES(333,'ExamsName-333','ExamsDescription-333');
INSERT INTO BES.Exams VALUES(334,'ExamsName-334','ExamsDescription-334');
INSERT INTO BES.Exams VALUES(335,'ExamsName-335','ExamsDescription-335');
INSERT INTO BES.Exams VALUES(336,'ExamsName-336','ExamsDescription-336');
INSERT INTO BES.Exams VALUES(337,'ExamsName-337','ExamsDescription-337');
INSERT INTO BES.Exams VALUES(338,'ExamsName-338','ExamsDescription-338');
INSERT INTO BES.Exams VALUES(339,'ExamsName-339','ExamsDescription-339');
INSERT INTO BES.Exams VALUES(340,'ExamsName-340','ExamsDescription-340');
INSERT INTO BES.Exams VALUES(341,'ExamsName-341','ExamsDescription-341');
INSERT INTO BES.Exams VALUES(342,'ExamsName-342','ExamsDescription-342');
INSERT INTO BES.Exams VALUES(343,'ExamsName-343','ExamsDescription-343');
INSERT INTO BES.Exams VALUES(344,'ExamsName-344','ExamsDescription-344');
INSERT INTO BES.Exams VALUES(345,'ExamsName-345','ExamsDescription-345');
INSERT INTO BES.Exams VALUES(346,'ExamsName-346','ExamsDescription-346');
INSERT INTO BES.Exams VALUES(347,'ExamsName-347','ExamsDescription-347');
INSERT INTO BES.Exams VALUES(348,'ExamsName-348','ExamsDescription-348');
INSERT INTO BES.Exams VALUES(349,'ExamsName-349','ExamsDescription-349');
