INSERT INTO BES.Management VALUES(1,'ManagementName-1','ManagementDescription-1');
INSERT INTO BES.Management VALUES(35,'ManagementName-35','ManagementDescription-35');
INSERT INTO BES.Management VALUES(36,'ManagementName-36','ManagementDescription-36');
INSERT INTO BES.Management VALUES(37,'ManagementName-37','ManagementDescription-37');
INSERT INTO BES.Management VALUES(38,'ManagementName-38','ManagementDescription-38');
INSERT INTO BES.Management VALUES(39,'ManagementName-39','ManagementDescription-39');
INSERT INTO BES.Management VALUES(40,'ManagementName-40','ManagementDescription-40');
INSERT INTO BES.Management VALUES(41,'ManagementName-41','ManagementDescription-41');
INSERT INTO BES.Management VALUES(42,'ManagementName-42','ManagementDescription-42');
INSERT INTO BES.Management VALUES(43,'ManagementName-43','ManagementDescription-43');
INSERT INTO BES.Management VALUES(44,'ManagementName-44','ManagementDescription-44');
INSERT INTO BES.Management VALUES(45,'ManagementName-45','ManagementDescription-45');
INSERT INTO BES.Management VALUES(46,'ManagementName-46','ManagementDescription-46');
INSERT INTO BES.Management VALUES(47,'ManagementName-47','ManagementDescription-47');
INSERT INTO BES.Management VALUES(48,'ManagementName-48','ManagementDescription-48');
INSERT INTO BES.Management VALUES(49,'ManagementName-49','ManagementDescription-49');
INSERT INTO BES.Management VALUES(50,'ManagementName-50','ManagementDescription-50');
INSERT INTO BES.Management VALUES(51,'ManagementName-51','ManagementDescription-51');
INSERT INTO BES.Management VALUES(52,'ManagementName-52','ManagementDescription-52');
INSERT INTO BES.Management VALUES(53,'ManagementName-53','ManagementDescription-53');
INSERT INTO BES.Management VALUES(54,'ManagementName-54','ManagementDescription-54');
INSERT INTO BES.Management VALUES(55,'ManagementName-55','ManagementDescription-55');
INSERT INTO BES.Management VALUES(56,'ManagementName-56','ManagementDescription-56');
INSERT INTO BES.Management VALUES(57,'ManagementName-57','ManagementDescription-57');
INSERT INTO BES.Management VALUES(58,'ManagementName-58','ManagementDescription-58');
INSERT INTO BES.Management VALUES(59,'ManagementName-59','ManagementDescription-59');
INSERT INTO BES.Management VALUES(60,'ManagementName-60','ManagementDescription-60');
INSERT INTO BES.Management VALUES(61,'ManagementName-61','ManagementDescription-61');
INSERT INTO BES.Management VALUES(62,'ManagementName-62','ManagementDescription-62');
INSERT INTO BES.Management VALUES(63,'ManagementName-63','ManagementDescription-63');
INSERT INTO BES.Management VALUES(64,'ManagementName-64','ManagementDescription-64');
INSERT INTO BES.Management VALUES(65,'ManagementName-65','ManagementDescription-65');
INSERT INTO BES.Management VALUES(66,'ManagementName-66','ManagementDescription-66');
INSERT INTO BES.Management VALUES(67,'ManagementName-67','ManagementDescription-67');
INSERT INTO BES.Management VALUES(68,'ManagementName-68','ManagementDescription-68');
INSERT INTO BES.Management VALUES(69,'ManagementName-69','ManagementDescription-69');
INSERT INTO BES.Management VALUES(70,'ManagementName-70','ManagementDescription-70');
INSERT INTO BES.Management VALUES(71,'ManagementName-71','ManagementDescription-71');
INSERT INTO BES.Management VALUES(72,'ManagementName-72','ManagementDescription-72');
INSERT INTO BES.Management VALUES(73,'ManagementName-73','ManagementDescription-73');
INSERT INTO BES.Management VALUES(74,'ManagementName-74','ManagementDescription-74');
INSERT INTO BES.Management VALUES(75,'ManagementName-75','ManagementDescription-75');
INSERT INTO BES.Management VALUES(76,'ManagementName-76','ManagementDescription-76');
INSERT INTO BES.Management VALUES(77,'ManagementName-77','ManagementDescription-77');
INSERT INTO BES.Management VALUES(78,'ManagementName-78','ManagementDescription-78');
INSERT INTO BES.Management VALUES(79,'ManagementName-79','ManagementDescription-79');
INSERT INTO BES.Management VALUES(80,'ManagementName-80','ManagementDescription-80');
INSERT INTO BES.Management VALUES(81,'ManagementName-81','ManagementDescription-81');
INSERT INTO BES.Management VALUES(82,'ManagementName-82','ManagementDescription-82');
INSERT INTO BES.Management VALUES(83,'ManagementName-83','ManagementDescription-83');
INSERT INTO BES.Management VALUES(84,'ManagementName-84','ManagementDescription-84');
INSERT INTO BES.Management VALUES(85,'ManagementName-85','ManagementDescription-85');
INSERT INTO BES.Management VALUES(86,'ManagementName-86','ManagementDescription-86');
INSERT INTO BES.Management VALUES(87,'ManagementName-87','ManagementDescription-87');
INSERT INTO BES.Management VALUES(88,'ManagementName-88','ManagementDescription-88');
INSERT INTO BES.Management VALUES(89,'ManagementName-89','ManagementDescription-89');
INSERT INTO BES.Management VALUES(90,'ManagementName-90','ManagementDescription-90');
INSERT INTO BES.Management VALUES(91,'ManagementName-91','ManagementDescription-91');
INSERT INTO BES.Management VALUES(92,'ManagementName-92','ManagementDescription-92');
INSERT INTO BES.Management VALUES(93,'ManagementName-93','ManagementDescription-93');
INSERT INTO BES.Management VALUES(94,'ManagementName-94','ManagementDescription-94');
INSERT INTO BES.Management VALUES(95,'ManagementName-95','ManagementDescription-95');
INSERT INTO BES.Management VALUES(96,'ManagementName-96','ManagementDescription-96');
INSERT INTO BES.Management VALUES(97,'ManagementName-97','ManagementDescription-97');
INSERT INTO BES.Management VALUES(98,'ManagementName-98','ManagementDescription-98');
INSERT INTO BES.Management VALUES(99,'ManagementName-99','ManagementDescription-99');
INSERT INTO BES.Management VALUES(100,'ManagementName-100','ManagementDescription-100');
INSERT INTO BES.Management VALUES(101,'ManagementName-101','ManagementDescription-101');
INSERT INTO BES.Management VALUES(102,'ManagementName-102','ManagementDescription-102');
INSERT INTO BES.Management VALUES(103,'ManagementName-103','ManagementDescription-103');
INSERT INTO BES.Management VALUES(104,'ManagementName-104','ManagementDescription-104');
INSERT INTO BES.Management VALUES(105,'ManagementName-105','ManagementDescription-105');
INSERT INTO BES.Management VALUES(106,'ManagementName-106','ManagementDescription-106');
INSERT INTO BES.Management VALUES(107,'ManagementName-107','ManagementDescription-107');
INSERT INTO BES.Management VALUES(108,'ManagementName-108','ManagementDescription-108');
INSERT INTO BES.Management VALUES(109,'ManagementName-109','ManagementDescription-109');
INSERT INTO BES.Management VALUES(110,'ManagementName-110','ManagementDescription-110');
INSERT INTO BES.Management VALUES(111,'ManagementName-111','ManagementDescription-111');
INSERT INTO BES.Management VALUES(112,'ManagementName-112','ManagementDescription-112');
INSERT INTO BES.Management VALUES(113,'ManagementName-113','ManagementDescription-113');
INSERT INTO BES.Management VALUES(114,'ManagementName-114','ManagementDescription-114');
INSERT INTO BES.Management VALUES(115,'ManagementName-115','ManagementDescription-115');
INSERT INTO BES.Management VALUES(116,'ManagementName-116','ManagementDescription-116');
INSERT INTO BES.Management VALUES(117,'ManagementName-117','ManagementDescription-117');
INSERT INTO BES.Management VALUES(118,'ManagementName-118','ManagementDescription-118');
INSERT INTO BES.Management VALUES(119,'ManagementName-119','ManagementDescription-119');
INSERT INTO BES.Management VALUES(120,'ManagementName-120','ManagementDescription-120');
INSERT INTO BES.Management VALUES(121,'ManagementName-121','ManagementDescription-121');
INSERT INTO BES.Management VALUES(122,'ManagementName-122','ManagementDescription-122');
INSERT INTO BES.Management VALUES(123,'ManagementName-123','ManagementDescription-123');
INSERT INTO BES.Management VALUES(124,'ManagementName-124','ManagementDescription-124');
INSERT INTO BES.Management VALUES(125,'ManagementName-125','ManagementDescription-125');
INSERT INTO BES.Management VALUES(126,'ManagementName-126','ManagementDescription-126');
INSERT INTO BES.Management VALUES(127,'ManagementName-127','ManagementDescription-127');
INSERT INTO BES.Management VALUES(128,'ManagementName-128','ManagementDescription-128');
INSERT INTO BES.Management VALUES(129,'ManagementName-129','ManagementDescription-129');
INSERT INTO BES.Management VALUES(130,'ManagementName-130','ManagementDescription-130');
INSERT INTO BES.Management VALUES(131,'ManagementName-131','ManagementDescription-131');
INSERT INTO BES.Management VALUES(132,'ManagementName-132','ManagementDescription-132');
INSERT INTO BES.Management VALUES(133,'ManagementName-133','ManagementDescription-133');
INSERT INTO BES.Management VALUES(134,'ManagementName-134','ManagementDescription-134');
INSERT INTO BES.Management VALUES(135,'ManagementName-135','ManagementDescription-135');
INSERT INTO BES.Management VALUES(136,'ManagementName-136','ManagementDescription-136');
INSERT INTO BES.Management VALUES(137,'ManagementName-137','ManagementDescription-137');
INSERT INTO BES.Management VALUES(138,'ManagementName-138','ManagementDescription-138');
INSERT INTO BES.Management VALUES(139,'ManagementName-139','ManagementDescription-139');
INSERT INTO BES.Management VALUES(140,'ManagementName-140','ManagementDescription-140');
INSERT INTO BES.Management VALUES(141,'ManagementName-141','ManagementDescription-141');
INSERT INTO BES.Management VALUES(142,'ManagementName-142','ManagementDescription-142');
INSERT INTO BES.Management VALUES(143,'ManagementName-143','ManagementDescription-143');
INSERT INTO BES.Management VALUES(144,'ManagementName-144','ManagementDescription-144');
INSERT INTO BES.Management VALUES(145,'ManagementName-145','ManagementDescription-145');
INSERT INTO BES.Management VALUES(146,'ManagementName-146','ManagementDescription-146');
INSERT INTO BES.Management VALUES(147,'ManagementName-147','ManagementDescription-147');
INSERT INTO BES.Management VALUES(148,'ManagementName-148','ManagementDescription-148');
INSERT INTO BES.Management VALUES(149,'ManagementName-149','ManagementDescription-149');
INSERT INTO BES.Management VALUES(150,'ManagementName-150','ManagementDescription-150');
INSERT INTO BES.Management VALUES(151,'ManagementName-151','ManagementDescription-151');
INSERT INTO BES.Management VALUES(152,'ManagementName-152','ManagementDescription-152');
INSERT INTO BES.Management VALUES(153,'ManagementName-153','ManagementDescription-153');
INSERT INTO BES.Management VALUES(154,'ManagementName-154','ManagementDescription-154');
INSERT INTO BES.Management VALUES(155,'ManagementName-155','ManagementDescription-155');
INSERT INTO BES.Management VALUES(156,'ManagementName-156','ManagementDescription-156');
INSERT INTO BES.Management VALUES(157,'ManagementName-157','ManagementDescription-157');
INSERT INTO BES.Management VALUES(158,'ManagementName-158','ManagementDescription-158');
INSERT INTO BES.Management VALUES(159,'ManagementName-159','ManagementDescription-159');
INSERT INTO BES.Management VALUES(160,'ManagementName-160','ManagementDescription-160');
INSERT INTO BES.Management VALUES(161,'ManagementName-161','ManagementDescription-161');
INSERT INTO BES.Management VALUES(162,'ManagementName-162','ManagementDescription-162');
INSERT INTO BES.Management VALUES(163,'ManagementName-163','ManagementDescription-163');
INSERT INTO BES.Management VALUES(164,'ManagementName-164','ManagementDescription-164');
INSERT INTO BES.Management VALUES(165,'ManagementName-165','ManagementDescription-165');
INSERT INTO BES.Management VALUES(166,'ManagementName-166','ManagementDescription-166');
INSERT INTO BES.Management VALUES(167,'ManagementName-167','ManagementDescription-167');
INSERT INTO BES.Management VALUES(168,'ManagementName-168','ManagementDescription-168');
INSERT INTO BES.Management VALUES(169,'ManagementName-169','ManagementDescription-169');
INSERT INTO BES.Management VALUES(170,'ManagementName-170','ManagementDescription-170');
INSERT INTO BES.Management VALUES(171,'ManagementName-171','ManagementDescription-171');
INSERT INTO BES.Management VALUES(172,'ManagementName-172','ManagementDescription-172');
INSERT INTO BES.Management VALUES(173,'ManagementName-173','ManagementDescription-173');
INSERT INTO BES.Management VALUES(174,'ManagementName-174','ManagementDescription-174');
INSERT INTO BES.Management VALUES(175,'ManagementName-175','ManagementDescription-175');
INSERT INTO BES.Management VALUES(176,'ManagementName-176','ManagementDescription-176');
INSERT INTO BES.Management VALUES(177,'ManagementName-177','ManagementDescription-177');
INSERT INTO BES.Management VALUES(178,'ManagementName-178','ManagementDescription-178');
INSERT INTO BES.Management VALUES(179,'ManagementName-179','ManagementDescription-179');
INSERT INTO BES.Management VALUES(180,'ManagementName-180','ManagementDescription-180');
INSERT INTO BES.Management VALUES(181,'ManagementName-181','ManagementDescription-181');
INSERT INTO BES.Management VALUES(182,'ManagementName-182','ManagementDescription-182');
INSERT INTO BES.Management VALUES(183,'ManagementName-183','ManagementDescription-183');
INSERT INTO BES.Management VALUES(184,'ManagementName-184','ManagementDescription-184');
INSERT INTO BES.Management VALUES(185,'ManagementName-185','ManagementDescription-185');
INSERT INTO BES.Management VALUES(186,'ManagementName-186','ManagementDescription-186');
INSERT INTO BES.Management VALUES(187,'ManagementName-187','ManagementDescription-187');
INSERT INTO BES.Management VALUES(188,'ManagementName-188','ManagementDescription-188');
INSERT INTO BES.Management VALUES(189,'ManagementName-189','ManagementDescription-189');
INSERT INTO BES.Management VALUES(190,'ManagementName-190','ManagementDescription-190');
INSERT INTO BES.Management VALUES(191,'ManagementName-191','ManagementDescription-191');
INSERT INTO BES.Management VALUES(192,'ManagementName-192','ManagementDescription-192');
INSERT INTO BES.Management VALUES(193,'ManagementName-193','ManagementDescription-193');
INSERT INTO BES.Management VALUES(194,'ManagementName-194','ManagementDescription-194');
INSERT INTO BES.Management VALUES(195,'ManagementName-195','ManagementDescription-195');
INSERT INTO BES.Management VALUES(196,'ManagementName-196','ManagementDescription-196');
INSERT INTO BES.Management VALUES(197,'ManagementName-197','ManagementDescription-197');
INSERT INTO BES.Management VALUES(198,'ManagementName-198','ManagementDescription-198');
INSERT INTO BES.Management VALUES(199,'ManagementName-199','ManagementDescription-199');
INSERT INTO BES.Management VALUES(200,'ManagementName-200','ManagementDescription-200');
INSERT INTO BES.Management VALUES(201,'ManagementName-201','ManagementDescription-201');
INSERT INTO BES.Management VALUES(202,'ManagementName-202','ManagementDescription-202');
INSERT INTO BES.Management VALUES(203,'ManagementName-203','ManagementDescription-203');
INSERT INTO BES.Management VALUES(204,'ManagementName-204','ManagementDescription-204');
INSERT INTO BES.Management VALUES(205,'ManagementName-205','ManagementDescription-205');
INSERT INTO BES.Management VALUES(206,'ManagementName-206','ManagementDescription-206');
INSERT INTO BES.Management VALUES(207,'ManagementName-207','ManagementDescription-207');
INSERT INTO BES.Management VALUES(208,'ManagementName-208','ManagementDescription-208');
INSERT INTO BES.Management VALUES(209,'ManagementName-209','ManagementDescription-209');
INSERT INTO BES.Management VALUES(210,'ManagementName-210','ManagementDescription-210');
INSERT INTO BES.Management VALUES(211,'ManagementName-211','ManagementDescription-211');
INSERT INTO BES.Management VALUES(212,'ManagementName-212','ManagementDescription-212');
INSERT INTO BES.Management VALUES(213,'ManagementName-213','ManagementDescription-213');
INSERT INTO BES.Management VALUES(214,'ManagementName-214','ManagementDescription-214');
INSERT INTO BES.Management VALUES(215,'ManagementName-215','ManagementDescription-215');
INSERT INTO BES.Management VALUES(216,'ManagementName-216','ManagementDescription-216');
INSERT INTO BES.Management VALUES(217,'ManagementName-217','ManagementDescription-217');
INSERT INTO BES.Management VALUES(218,'ManagementName-218','ManagementDescription-218');
INSERT INTO BES.Management VALUES(219,'ManagementName-219','ManagementDescription-219');
INSERT INTO BES.Management VALUES(220,'ManagementName-220','ManagementDescription-220');
INSERT INTO BES.Management VALUES(221,'ManagementName-221','ManagementDescription-221');
INSERT INTO BES.Management VALUES(222,'ManagementName-222','ManagementDescription-222');
INSERT INTO BES.Management VALUES(223,'ManagementName-223','ManagementDescription-223');
INSERT INTO BES.Management VALUES(224,'ManagementName-224','ManagementDescription-224');
INSERT INTO BES.Management VALUES(225,'ManagementName-225','ManagementDescription-225');
INSERT INTO BES.Management VALUES(226,'ManagementName-226','ManagementDescription-226');
INSERT INTO BES.Management VALUES(227,'ManagementName-227','ManagementDescription-227');
INSERT INTO BES.Management VALUES(228,'ManagementName-228','ManagementDescription-228');
INSERT INTO BES.Management VALUES(229,'ManagementName-229','ManagementDescription-229');
INSERT INTO BES.Management VALUES(230,'ManagementName-230','ManagementDescription-230');
INSERT INTO BES.Management VALUES(231,'ManagementName-231','ManagementDescription-231');
INSERT INTO BES.Management VALUES(232,'ManagementName-232','ManagementDescription-232');
INSERT INTO BES.Management VALUES(233,'ManagementName-233','ManagementDescription-233');
INSERT INTO BES.Management VALUES(234,'ManagementName-234','ManagementDescription-234');
INSERT INTO BES.Management VALUES(235,'ManagementName-235','ManagementDescription-235');
INSERT INTO BES.Management VALUES(236,'ManagementName-236','ManagementDescription-236');
INSERT INTO BES.Management VALUES(237,'ManagementName-237','ManagementDescription-237');
INSERT INTO BES.Management VALUES(238,'ManagementName-238','ManagementDescription-238');
INSERT INTO BES.Management VALUES(239,'ManagementName-239','ManagementDescription-239');
INSERT INTO BES.Management VALUES(240,'ManagementName-240','ManagementDescription-240');
INSERT INTO BES.Management VALUES(241,'ManagementName-241','ManagementDescription-241');
INSERT INTO BES.Management VALUES(242,'ManagementName-242','ManagementDescription-242');
INSERT INTO BES.Management VALUES(243,'ManagementName-243','ManagementDescription-243');
INSERT INTO BES.Management VALUES(244,'ManagementName-244','ManagementDescription-244');
INSERT INTO BES.Management VALUES(245,'ManagementName-245','ManagementDescription-245');
INSERT INTO BES.Management VALUES(246,'ManagementName-246','ManagementDescription-246');
INSERT INTO BES.Management VALUES(247,'ManagementName-247','ManagementDescription-247');
INSERT INTO BES.Management VALUES(248,'ManagementName-248','ManagementDescription-248');
INSERT INTO BES.Management VALUES(249,'ManagementName-249','ManagementDescription-249');
INSERT INTO BES.Management VALUES(250,'ManagementName-250','ManagementDescription-250');
INSERT INTO BES.Management VALUES(251,'ManagementName-251','ManagementDescription-251');
INSERT INTO BES.Management VALUES(252,'ManagementName-252','ManagementDescription-252');
INSERT INTO BES.Management VALUES(253,'ManagementName-253','ManagementDescription-253');
INSERT INTO BES.Management VALUES(254,'ManagementName-254','ManagementDescription-254');
INSERT INTO BES.Management VALUES(255,'ManagementName-255','ManagementDescription-255');
INSERT INTO BES.Management VALUES(256,'ManagementName-256','ManagementDescription-256');
INSERT INTO BES.Management VALUES(257,'ManagementName-257','ManagementDescription-257');
INSERT INTO BES.Management VALUES(258,'ManagementName-258','ManagementDescription-258');
INSERT INTO BES.Management VALUES(259,'ManagementName-259','ManagementDescription-259');
INSERT INTO BES.Management VALUES(260,'ManagementName-260','ManagementDescription-260');
INSERT INTO BES.Management VALUES(261,'ManagementName-261','ManagementDescription-261');
INSERT INTO BES.Management VALUES(262,'ManagementName-262','ManagementDescription-262');
INSERT INTO BES.Management VALUES(263,'ManagementName-263','ManagementDescription-263');
INSERT INTO BES.Management VALUES(264,'ManagementName-264','ManagementDescription-264');
INSERT INTO BES.Management VALUES(265,'ManagementName-265','ManagementDescription-265');
INSERT INTO BES.Management VALUES(266,'ManagementName-266','ManagementDescription-266');
INSERT INTO BES.Management VALUES(267,'ManagementName-267','ManagementDescription-267');
INSERT INTO BES.Management VALUES(268,'ManagementName-268','ManagementDescription-268');
INSERT INTO BES.Management VALUES(269,'ManagementName-269','ManagementDescription-269');
INSERT INTO BES.Management VALUES(270,'ManagementName-270','ManagementDescription-270');
INSERT INTO BES.Management VALUES(271,'ManagementName-271','ManagementDescription-271');
INSERT INTO BES.Management VALUES(272,'ManagementName-272','ManagementDescription-272');
INSERT INTO BES.Management VALUES(273,'ManagementName-273','ManagementDescription-273');
INSERT INTO BES.Management VALUES(274,'ManagementName-274','ManagementDescription-274');
INSERT INTO BES.Management VALUES(275,'ManagementName-275','ManagementDescription-275');
INSERT INTO BES.Management VALUES(276,'ManagementName-276','ManagementDescription-276');
INSERT INTO BES.Management VALUES(277,'ManagementName-277','ManagementDescription-277');
INSERT INTO BES.Management VALUES(278,'ManagementName-278','ManagementDescription-278');
INSERT INTO BES.Management VALUES(279,'ManagementName-279','ManagementDescription-279');
INSERT INTO BES.Management VALUES(280,'ManagementName-280','ManagementDescription-280');
INSERT INTO BES.Management VALUES(281,'ManagementName-281','ManagementDescription-281');
INSERT INTO BES.Management VALUES(282,'ManagementName-282','ManagementDescription-282');
INSERT INTO BES.Management VALUES(283,'ManagementName-283','ManagementDescription-283');
INSERT INTO BES.Management VALUES(284,'ManagementName-284','ManagementDescription-284');
INSERT INTO BES.Management VALUES(285,'ManagementName-285','ManagementDescription-285');
INSERT INTO BES.Management VALUES(286,'ManagementName-286','ManagementDescription-286');
INSERT INTO BES.Management VALUES(287,'ManagementName-287','ManagementDescription-287');
INSERT INTO BES.Management VALUES(288,'ManagementName-288','ManagementDescription-288');
INSERT INTO BES.Management VALUES(289,'ManagementName-289','ManagementDescription-289');
INSERT INTO BES.Management VALUES(290,'ManagementName-290','ManagementDescription-290');
INSERT INTO BES.Management VALUES(291,'ManagementName-291','ManagementDescription-291');
INSERT INTO BES.Management VALUES(292,'ManagementName-292','ManagementDescription-292');
INSERT INTO BES.Management VALUES(293,'ManagementName-293','ManagementDescription-293');
INSERT INTO BES.Management VALUES(294,'ManagementName-294','ManagementDescription-294');
INSERT INTO BES.Management VALUES(295,'ManagementName-295','ManagementDescription-295');
INSERT INTO BES.Management VALUES(296,'ManagementName-296','ManagementDescription-296');
INSERT INTO BES.Management VALUES(297,'ManagementName-297','ManagementDescription-297');
INSERT INTO BES.Management VALUES(298,'ManagementName-298','ManagementDescription-298');
INSERT INTO BES.Management VALUES(299,'ManagementName-299','ManagementDescription-299');
INSERT INTO BES.Management VALUES(300,'ManagementName-300','ManagementDescription-300');
INSERT INTO BES.Management VALUES(301,'ManagementName-301','ManagementDescription-301');
INSERT INTO BES.Management VALUES(302,'ManagementName-302','ManagementDescription-302');
INSERT INTO BES.Management VALUES(303,'ManagementName-303','ManagementDescription-303');
INSERT INTO BES.Management VALUES(304,'ManagementName-304','ManagementDescription-304');
INSERT INTO BES.Management VALUES(305,'ManagementName-305','ManagementDescription-305');
INSERT INTO BES.Management VALUES(306,'ManagementName-306','ManagementDescription-306');
INSERT INTO BES.Management VALUES(307,'ManagementName-307','ManagementDescription-307');
INSERT INTO BES.Management VALUES(308,'ManagementName-308','ManagementDescription-308');
INSERT INTO BES.Management VALUES(309,'ManagementName-309','ManagementDescription-309');
INSERT INTO BES.Management VALUES(310,'ManagementName-310','ManagementDescription-310');
INSERT INTO BES.Management VALUES(311,'ManagementName-311','ManagementDescription-311');
INSERT INTO BES.Management VALUES(312,'ManagementName-312','ManagementDescription-312');
INSERT INTO BES.Management VALUES(313,'ManagementName-313','ManagementDescription-313');
INSERT INTO BES.Management VALUES(314,'ManagementName-314','ManagementDescription-314');
INSERT INTO BES.Management VALUES(315,'ManagementName-315','ManagementDescription-315');
INSERT INTO BES.Management VALUES(316,'ManagementName-316','ManagementDescription-316');
INSERT INTO BES.Management VALUES(317,'ManagementName-317','ManagementDescription-317');
INSERT INTO BES.Management VALUES(318,'ManagementName-318','ManagementDescription-318');
INSERT INTO BES.Management VALUES(319,'ManagementName-319','ManagementDescription-319');
INSERT INTO BES.Management VALUES(320,'ManagementName-320','ManagementDescription-320');
INSERT INTO BES.Management VALUES(321,'ManagementName-321','ManagementDescription-321');
INSERT INTO BES.Management VALUES(322,'ManagementName-322','ManagementDescription-322');
INSERT INTO BES.Management VALUES(323,'ManagementName-323','ManagementDescription-323');
INSERT INTO BES.Management VALUES(324,'ManagementName-324','ManagementDescription-324');
INSERT INTO BES.Management VALUES(325,'ManagementName-325','ManagementDescription-325');
INSERT INTO BES.Management VALUES(326,'ManagementName-326','ManagementDescription-326');
INSERT INTO BES.Management VALUES(327,'ManagementName-327','ManagementDescription-327');
INSERT INTO BES.Management VALUES(328,'ManagementName-328','ManagementDescription-328');
INSERT INTO BES.Management VALUES(329,'ManagementName-329','ManagementDescription-329');
INSERT INTO BES.Management VALUES(330,'ManagementName-330','ManagementDescription-330');
INSERT INTO BES.Management VALUES(331,'ManagementName-331','ManagementDescription-331');
INSERT INTO BES.Management VALUES(332,'ManagementName-332','ManagementDescription-332');
INSERT INTO BES.Management VALUES(333,'ManagementName-333','ManagementDescription-333');
INSERT INTO BES.Management VALUES(334,'ManagementName-334','ManagementDescription-334');
INSERT INTO BES.Management VALUES(335,'ManagementName-335','ManagementDescription-335');
INSERT INTO BES.Management VALUES(336,'ManagementName-336','ManagementDescription-336');
INSERT INTO BES.Management VALUES(337,'ManagementName-337','ManagementDescription-337');
INSERT INTO BES.Management VALUES(338,'ManagementName-338','ManagementDescription-338');
INSERT INTO BES.Management VALUES(339,'ManagementName-339','ManagementDescription-339');
INSERT INTO BES.Management VALUES(340,'ManagementName-340','ManagementDescription-340');
INSERT INTO BES.Management VALUES(341,'ManagementName-341','ManagementDescription-341');
INSERT INTO BES.Management VALUES(342,'ManagementName-342','ManagementDescription-342');
INSERT INTO BES.Management VALUES(343,'ManagementName-343','ManagementDescription-343');
INSERT INTO BES.Management VALUES(344,'ManagementName-344','ManagementDescription-344');
INSERT INTO BES.Management VALUES(345,'ManagementName-345','ManagementDescription-345');
INSERT INTO BES.Management VALUES(346,'ManagementName-346','ManagementDescription-346');
INSERT INTO BES.Management VALUES(347,'ManagementName-347','ManagementDescription-347');
INSERT INTO BES.Management VALUES(348,'ManagementName-348','ManagementDescription-348');
INSERT INTO BES.Management VALUES(349,'ManagementName-349','ManagementDescription-349');
INSERT INTO BES.Management VALUES(350,'ManagementName-350','ManagementDescription-350');
INSERT INTO BES.Management VALUES(351,'ManagementName-351','ManagementDescription-351');
INSERT INTO BES.Management VALUES(352,'ManagementName-352','ManagementDescription-352');
INSERT INTO BES.Management VALUES(353,'ManagementName-353','ManagementDescription-353');
INSERT INTO BES.Management VALUES(354,'ManagementName-354','ManagementDescription-354');
INSERT INTO BES.Management VALUES(355,'ManagementName-355','ManagementDescription-355');
INSERT INTO BES.Management VALUES(356,'ManagementName-356','ManagementDescription-356');
INSERT INTO BES.Management VALUES(357,'ManagementName-357','ManagementDescription-357');
