INSERT INTO BES.Events VALUES(1,'EventsName-1','EventsDescription-1');
INSERT INTO BES.Events VALUES(84,'EventsName-84','EventsDescription-84');
INSERT INTO BES.Events VALUES(85,'EventsName-85','EventsDescription-85');
INSERT INTO BES.Events VALUES(86,'EventsName-86','EventsDescription-86');
INSERT INTO BES.Events VALUES(87,'EventsName-87','EventsDescription-87');
INSERT INTO BES.Events VALUES(88,'EventsName-88','EventsDescription-88');
INSERT INTO BES.Events VALUES(89,'EventsName-89','EventsDescription-89');
INSERT INTO BES.Events VALUES(90,'EventsName-90','EventsDescription-90');
INSERT INTO BES.Events VALUES(91,'EventsName-91','EventsDescription-91');
INSERT INTO BES.Events VALUES(92,'EventsName-92','EventsDescription-92');
INSERT INTO BES.Events VALUES(93,'EventsName-93','EventsDescription-93');
INSERT INTO BES.Events VALUES(94,'EventsName-94','EventsDescription-94');
INSERT INTO BES.Events VALUES(95,'EventsName-95','EventsDescription-95');
INSERT INTO BES.Events VALUES(96,'EventsName-96','EventsDescription-96');
INSERT INTO BES.Events VALUES(97,'EventsName-97','EventsDescription-97');
INSERT INTO BES.Events VALUES(98,'EventsName-98','EventsDescription-98');
INSERT INTO BES.Events VALUES(99,'EventsName-99','EventsDescription-99');
INSERT INTO BES.Events VALUES(100,'EventsName-100','EventsDescription-100');
INSERT INTO BES.Events VALUES(101,'EventsName-101','EventsDescription-101');
INSERT INTO BES.Events VALUES(102,'EventsName-102','EventsDescription-102');
INSERT INTO BES.Events VALUES(103,'EventsName-103','EventsDescription-103');
INSERT INTO BES.Events VALUES(104,'EventsName-104','EventsDescription-104');
INSERT INTO BES.Events VALUES(105,'EventsName-105','EventsDescription-105');
INSERT INTO BES.Events VALUES(106,'EventsName-106','EventsDescription-106');
INSERT INTO BES.Events VALUES(107,'EventsName-107','EventsDescription-107');
INSERT INTO BES.Events VALUES(108,'EventsName-108','EventsDescription-108');
INSERT INTO BES.Events VALUES(109,'EventsName-109','EventsDescription-109');
INSERT INTO BES.Events VALUES(110,'EventsName-110','EventsDescription-110');
INSERT INTO BES.Events VALUES(111,'EventsName-111','EventsDescription-111');
INSERT INTO BES.Events VALUES(112,'EventsName-112','EventsDescription-112');
INSERT INTO BES.Events VALUES(113,'EventsName-113','EventsDescription-113');
INSERT INTO BES.Events VALUES(114,'EventsName-114','EventsDescription-114');
INSERT INTO BES.Events VALUES(115,'EventsName-115','EventsDescription-115');
INSERT INTO BES.Events VALUES(116,'EventsName-116','EventsDescription-116');
INSERT INTO BES.Events VALUES(117,'EventsName-117','EventsDescription-117');
INSERT INTO BES.Events VALUES(118,'EventsName-118','EventsDescription-118');
INSERT INTO BES.Events VALUES(119,'EventsName-119','EventsDescription-119');
INSERT INTO BES.Events VALUES(120,'EventsName-120','EventsDescription-120');
INSERT INTO BES.Events VALUES(121,'EventsName-121','EventsDescription-121');
INSERT INTO BES.Events VALUES(122,'EventsName-122','EventsDescription-122');
INSERT INTO BES.Events VALUES(123,'EventsName-123','EventsDescription-123');
INSERT INTO BES.Events VALUES(124,'EventsName-124','EventsDescription-124');
INSERT INTO BES.Events VALUES(125,'EventsName-125','EventsDescription-125');
INSERT INTO BES.Events VALUES(126,'EventsName-126','EventsDescription-126');
INSERT INTO BES.Events VALUES(127,'EventsName-127','EventsDescription-127');
INSERT INTO BES.Events VALUES(128,'EventsName-128','EventsDescription-128');
INSERT INTO BES.Events VALUES(129,'EventsName-129','EventsDescription-129');
INSERT INTO BES.Events VALUES(130,'EventsName-130','EventsDescription-130');
INSERT INTO BES.Events VALUES(131,'EventsName-131','EventsDescription-131');
INSERT INTO BES.Events VALUES(132,'EventsName-132','EventsDescription-132');
INSERT INTO BES.Events VALUES(133,'EventsName-133','EventsDescription-133');
INSERT INTO BES.Events VALUES(134,'EventsName-134','EventsDescription-134');
INSERT INTO BES.Events VALUES(135,'EventsName-135','EventsDescription-135');
INSERT INTO BES.Events VALUES(136,'EventsName-136','EventsDescription-136');
INSERT INTO BES.Events VALUES(137,'EventsName-137','EventsDescription-137');
INSERT INTO BES.Events VALUES(138,'EventsName-138','EventsDescription-138');
INSERT INTO BES.Events VALUES(139,'EventsName-139','EventsDescription-139');
INSERT INTO BES.Events VALUES(140,'EventsName-140','EventsDescription-140');
INSERT INTO BES.Events VALUES(141,'EventsName-141','EventsDescription-141');
INSERT INTO BES.Events VALUES(142,'EventsName-142','EventsDescription-142');
INSERT INTO BES.Events VALUES(143,'EventsName-143','EventsDescription-143');
INSERT INTO BES.Events VALUES(144,'EventsName-144','EventsDescription-144');
INSERT INTO BES.Events VALUES(145,'EventsName-145','EventsDescription-145');
INSERT INTO BES.Events VALUES(146,'EventsName-146','EventsDescription-146');
INSERT INTO BES.Events VALUES(147,'EventsName-147','EventsDescription-147');
INSERT INTO BES.Events VALUES(148,'EventsName-148','EventsDescription-148');
INSERT INTO BES.Events VALUES(149,'EventsName-149','EventsDescription-149');
INSERT INTO BES.Events VALUES(150,'EventsName-150','EventsDescription-150');
INSERT INTO BES.Events VALUES(151,'EventsName-151','EventsDescription-151');
INSERT INTO BES.Events VALUES(152,'EventsName-152','EventsDescription-152');
INSERT INTO BES.Events VALUES(153,'EventsName-153','EventsDescription-153');
INSERT INTO BES.Events VALUES(154,'EventsName-154','EventsDescription-154');
INSERT INTO BES.Events VALUES(155,'EventsName-155','EventsDescription-155');
INSERT INTO BES.Events VALUES(156,'EventsName-156','EventsDescription-156');
INSERT INTO BES.Events VALUES(157,'EventsName-157','EventsDescription-157');
INSERT INTO BES.Events VALUES(158,'EventsName-158','EventsDescription-158');
INSERT INTO BES.Events VALUES(159,'EventsName-159','EventsDescription-159');
INSERT INTO BES.Events VALUES(160,'EventsName-160','EventsDescription-160');
INSERT INTO BES.Events VALUES(161,'EventsName-161','EventsDescription-161');
INSERT INTO BES.Events VALUES(162,'EventsName-162','EventsDescription-162');
INSERT INTO BES.Events VALUES(163,'EventsName-163','EventsDescription-163');
INSERT INTO BES.Events VALUES(164,'EventsName-164','EventsDescription-164');
INSERT INTO BES.Events VALUES(165,'EventsName-165','EventsDescription-165');
INSERT INTO BES.Events VALUES(166,'EventsName-166','EventsDescription-166');
INSERT INTO BES.Events VALUES(167,'EventsName-167','EventsDescription-167');
INSERT INTO BES.Events VALUES(168,'EventsName-168','EventsDescription-168');
INSERT INTO BES.Events VALUES(169,'EventsName-169','EventsDescription-169');
INSERT INTO BES.Events VALUES(170,'EventsName-170','EventsDescription-170');
INSERT INTO BES.Events VALUES(171,'EventsName-171','EventsDescription-171');
INSERT INTO BES.Events VALUES(172,'EventsName-172','EventsDescription-172');
INSERT INTO BES.Events VALUES(173,'EventsName-173','EventsDescription-173');
INSERT INTO BES.Events VALUES(174,'EventsName-174','EventsDescription-174');
INSERT INTO BES.Events VALUES(175,'EventsName-175','EventsDescription-175');
INSERT INTO BES.Events VALUES(176,'EventsName-176','EventsDescription-176');
INSERT INTO BES.Events VALUES(177,'EventsName-177','EventsDescription-177');
INSERT INTO BES.Events VALUES(178,'EventsName-178','EventsDescription-178');
INSERT INTO BES.Events VALUES(179,'EventsName-179','EventsDescription-179');
INSERT INTO BES.Events VALUES(180,'EventsName-180','EventsDescription-180');
INSERT INTO BES.Events VALUES(181,'EventsName-181','EventsDescription-181');
INSERT INTO BES.Events VALUES(182,'EventsName-182','EventsDescription-182');
INSERT INTO BES.Events VALUES(183,'EventsName-183','EventsDescription-183');
INSERT INTO BES.Events VALUES(184,'EventsName-184','EventsDescription-184');
INSERT INTO BES.Events VALUES(185,'EventsName-185','EventsDescription-185');
INSERT INTO BES.Events VALUES(186,'EventsName-186','EventsDescription-186');
INSERT INTO BES.Events VALUES(187,'EventsName-187','EventsDescription-187');
INSERT INTO BES.Events VALUES(188,'EventsName-188','EventsDescription-188');
INSERT INTO BES.Events VALUES(189,'EventsName-189','EventsDescription-189');
INSERT INTO BES.Events VALUES(190,'EventsName-190','EventsDescription-190');
INSERT INTO BES.Events VALUES(191,'EventsName-191','EventsDescription-191');
INSERT INTO BES.Events VALUES(192,'EventsName-192','EventsDescription-192');
INSERT INTO BES.Events VALUES(193,'EventsName-193','EventsDescription-193');
INSERT INTO BES.Events VALUES(194,'EventsName-194','EventsDescription-194');
INSERT INTO BES.Events VALUES(195,'EventsName-195','EventsDescription-195');
INSERT INTO BES.Events VALUES(196,'EventsName-196','EventsDescription-196');
INSERT INTO BES.Events VALUES(197,'EventsName-197','EventsDescription-197');
INSERT INTO BES.Events VALUES(198,'EventsName-198','EventsDescription-198');
INSERT INTO BES.Events VALUES(199,'EventsName-199','EventsDescription-199');
INSERT INTO BES.Events VALUES(200,'EventsName-200','EventsDescription-200');
INSERT INTO BES.Events VALUES(201,'EventsName-201','EventsDescription-201');
INSERT INTO BES.Events VALUES(202,'EventsName-202','EventsDescription-202');
INSERT INTO BES.Events VALUES(203,'EventsName-203','EventsDescription-203');
INSERT INTO BES.Events VALUES(204,'EventsName-204','EventsDescription-204');
INSERT INTO BES.Events VALUES(205,'EventsName-205','EventsDescription-205');
INSERT INTO BES.Events VALUES(206,'EventsName-206','EventsDescription-206');
INSERT INTO BES.Events VALUES(207,'EventsName-207','EventsDescription-207');
INSERT INTO BES.Events VALUES(208,'EventsName-208','EventsDescription-208');
INSERT INTO BES.Events VALUES(209,'EventsName-209','EventsDescription-209');
INSERT INTO BES.Events VALUES(210,'EventsName-210','EventsDescription-210');
INSERT INTO BES.Events VALUES(211,'EventsName-211','EventsDescription-211');
INSERT INTO BES.Events VALUES(212,'EventsName-212','EventsDescription-212');
INSERT INTO BES.Events VALUES(213,'EventsName-213','EventsDescription-213');
INSERT INTO BES.Events VALUES(214,'EventsName-214','EventsDescription-214');
INSERT INTO BES.Events VALUES(215,'EventsName-215','EventsDescription-215');
INSERT INTO BES.Events VALUES(216,'EventsName-216','EventsDescription-216');
INSERT INTO BES.Events VALUES(217,'EventsName-217','EventsDescription-217');
INSERT INTO BES.Events VALUES(218,'EventsName-218','EventsDescription-218');
INSERT INTO BES.Events VALUES(219,'EventsName-219','EventsDescription-219');
INSERT INTO BES.Events VALUES(220,'EventsName-220','EventsDescription-220');
INSERT INTO BES.Events VALUES(221,'EventsName-221','EventsDescription-221');
INSERT INTO BES.Events VALUES(222,'EventsName-222','EventsDescription-222');
INSERT INTO BES.Events VALUES(223,'EventsName-223','EventsDescription-223');
INSERT INTO BES.Events VALUES(224,'EventsName-224','EventsDescription-224');
INSERT INTO BES.Events VALUES(225,'EventsName-225','EventsDescription-225');
INSERT INTO BES.Events VALUES(226,'EventsName-226','EventsDescription-226');
INSERT INTO BES.Events VALUES(227,'EventsName-227','EventsDescription-227');
INSERT INTO BES.Events VALUES(228,'EventsName-228','EventsDescription-228');
INSERT INTO BES.Events VALUES(229,'EventsName-229','EventsDescription-229');
INSERT INTO BES.Events VALUES(230,'EventsName-230','EventsDescription-230');
INSERT INTO BES.Events VALUES(231,'EventsName-231','EventsDescription-231');
INSERT INTO BES.Events VALUES(232,'EventsName-232','EventsDescription-232');
INSERT INTO BES.Events VALUES(233,'EventsName-233','EventsDescription-233');
INSERT INTO BES.Events VALUES(234,'EventsName-234','EventsDescription-234');
INSERT INTO BES.Events VALUES(235,'EventsName-235','EventsDescription-235');
INSERT INTO BES.Events VALUES(236,'EventsName-236','EventsDescription-236');
INSERT INTO BES.Events VALUES(237,'EventsName-237','EventsDescription-237');
INSERT INTO BES.Events VALUES(238,'EventsName-238','EventsDescription-238');
INSERT INTO BES.Events VALUES(239,'EventsName-239','EventsDescription-239');
INSERT INTO BES.Events VALUES(240,'EventsName-240','EventsDescription-240');
INSERT INTO BES.Events VALUES(241,'EventsName-241','EventsDescription-241');
INSERT INTO BES.Events VALUES(242,'EventsName-242','EventsDescription-242');
INSERT INTO BES.Events VALUES(243,'EventsName-243','EventsDescription-243');
INSERT INTO BES.Events VALUES(244,'EventsName-244','EventsDescription-244');
INSERT INTO BES.Events VALUES(245,'EventsName-245','EventsDescription-245');
INSERT INTO BES.Events VALUES(246,'EventsName-246','EventsDescription-246');
INSERT INTO BES.Events VALUES(247,'EventsName-247','EventsDescription-247');
INSERT INTO BES.Events VALUES(248,'EventsName-248','EventsDescription-248');
INSERT INTO BES.Events VALUES(249,'EventsName-249','EventsDescription-249');
INSERT INTO BES.Events VALUES(250,'EventsName-250','EventsDescription-250');
INSERT INTO BES.Events VALUES(251,'EventsName-251','EventsDescription-251');
INSERT INTO BES.Events VALUES(252,'EventsName-252','EventsDescription-252');
INSERT INTO BES.Events VALUES(253,'EventsName-253','EventsDescription-253');
INSERT INTO BES.Events VALUES(254,'EventsName-254','EventsDescription-254');
INSERT INTO BES.Events VALUES(255,'EventsName-255','EventsDescription-255');
INSERT INTO BES.Events VALUES(256,'EventsName-256','EventsDescription-256');
INSERT INTO BES.Events VALUES(257,'EventsName-257','EventsDescription-257');
INSERT INTO BES.Events VALUES(258,'EventsName-258','EventsDescription-258');
INSERT INTO BES.Events VALUES(259,'EventsName-259','EventsDescription-259');
INSERT INTO BES.Events VALUES(260,'EventsName-260','EventsDescription-260');
INSERT INTO BES.Events VALUES(261,'EventsName-261','EventsDescription-261');
INSERT INTO BES.Events VALUES(262,'EventsName-262','EventsDescription-262');
INSERT INTO BES.Events VALUES(263,'EventsName-263','EventsDescription-263');
INSERT INTO BES.Events VALUES(264,'EventsName-264','EventsDescription-264');
INSERT INTO BES.Events VALUES(265,'EventsName-265','EventsDescription-265');
INSERT INTO BES.Events VALUES(266,'EventsName-266','EventsDescription-266');
INSERT INTO BES.Events VALUES(267,'EventsName-267','EventsDescription-267');
INSERT INTO BES.Events VALUES(268,'EventsName-268','EventsDescription-268');
INSERT INTO BES.Events VALUES(269,'EventsName-269','EventsDescription-269');
INSERT INTO BES.Events VALUES(270,'EventsName-270','EventsDescription-270');
INSERT INTO BES.Events VALUES(271,'EventsName-271','EventsDescription-271');
INSERT INTO BES.Events VALUES(272,'EventsName-272','EventsDescription-272');
INSERT INTO BES.Events VALUES(273,'EventsName-273','EventsDescription-273');
INSERT INTO BES.Events VALUES(274,'EventsName-274','EventsDescription-274');
INSERT INTO BES.Events VALUES(275,'EventsName-275','EventsDescription-275');
INSERT INTO BES.Events VALUES(276,'EventsName-276','EventsDescription-276');
INSERT INTO BES.Events VALUES(277,'EventsName-277','EventsDescription-277');
INSERT INTO BES.Events VALUES(278,'EventsName-278','EventsDescription-278');
INSERT INTO BES.Events VALUES(279,'EventsName-279','EventsDescription-279');
INSERT INTO BES.Events VALUES(280,'EventsName-280','EventsDescription-280');
INSERT INTO BES.Events VALUES(281,'EventsName-281','EventsDescription-281');
INSERT INTO BES.Events VALUES(282,'EventsName-282','EventsDescription-282');
INSERT INTO BES.Events VALUES(283,'EventsName-283','EventsDescription-283');
INSERT INTO BES.Events VALUES(284,'EventsName-284','EventsDescription-284');
INSERT INTO BES.Events VALUES(285,'EventsName-285','EventsDescription-285');
INSERT INTO BES.Events VALUES(286,'EventsName-286','EventsDescription-286');
INSERT INTO BES.Events VALUES(287,'EventsName-287','EventsDescription-287');
INSERT INTO BES.Events VALUES(288,'EventsName-288','EventsDescription-288');
INSERT INTO BES.Events VALUES(289,'EventsName-289','EventsDescription-289');
INSERT INTO BES.Events VALUES(290,'EventsName-290','EventsDescription-290');
INSERT INTO BES.Events VALUES(291,'EventsName-291','EventsDescription-291');
INSERT INTO BES.Events VALUES(292,'EventsName-292','EventsDescription-292');
INSERT INTO BES.Events VALUES(293,'EventsName-293','EventsDescription-293');
INSERT INTO BES.Events VALUES(294,'EventsName-294','EventsDescription-294');
INSERT INTO BES.Events VALUES(295,'EventsName-295','EventsDescription-295');
INSERT INTO BES.Events VALUES(296,'EventsName-296','EventsDescription-296');
INSERT INTO BES.Events VALUES(297,'EventsName-297','EventsDescription-297');
INSERT INTO BES.Events VALUES(298,'EventsName-298','EventsDescription-298');
INSERT INTO BES.Events VALUES(299,'EventsName-299','EventsDescription-299');
INSERT INTO BES.Events VALUES(300,'EventsName-300','EventsDescription-300');
INSERT INTO BES.Events VALUES(301,'EventsName-301','EventsDescription-301');
INSERT INTO BES.Events VALUES(302,'EventsName-302','EventsDescription-302');
INSERT INTO BES.Events VALUES(303,'EventsName-303','EventsDescription-303');
INSERT INTO BES.Events VALUES(304,'EventsName-304','EventsDescription-304');
INSERT INTO BES.Events VALUES(305,'EventsName-305','EventsDescription-305');
INSERT INTO BES.Events VALUES(306,'EventsName-306','EventsDescription-306');
INSERT INTO BES.Events VALUES(307,'EventsName-307','EventsDescription-307');
INSERT INTO BES.Events VALUES(308,'EventsName-308','EventsDescription-308');
INSERT INTO BES.Events VALUES(309,'EventsName-309','EventsDescription-309');
INSERT INTO BES.Events VALUES(310,'EventsName-310','EventsDescription-310');
INSERT INTO BES.Events VALUES(311,'EventsName-311','EventsDescription-311');
INSERT INTO BES.Events VALUES(312,'EventsName-312','EventsDescription-312');
INSERT INTO BES.Events VALUES(313,'EventsName-313','EventsDescription-313');
INSERT INTO BES.Events VALUES(314,'EventsName-314','EventsDescription-314');
INSERT INTO BES.Events VALUES(315,'EventsName-315','EventsDescription-315');
INSERT INTO BES.Events VALUES(316,'EventsName-316','EventsDescription-316');
INSERT INTO BES.Events VALUES(317,'EventsName-317','EventsDescription-317');
INSERT INTO BES.Events VALUES(318,'EventsName-318','EventsDescription-318');
INSERT INTO BES.Events VALUES(319,'EventsName-319','EventsDescription-319');
INSERT INTO BES.Events VALUES(320,'EventsName-320','EventsDescription-320');
INSERT INTO BES.Events VALUES(321,'EventsName-321','EventsDescription-321');
INSERT INTO BES.Events VALUES(322,'EventsName-322','EventsDescription-322');
INSERT INTO BES.Events VALUES(323,'EventsName-323','EventsDescription-323');
INSERT INTO BES.Events VALUES(324,'EventsName-324','EventsDescription-324');
INSERT INTO BES.Events VALUES(325,'EventsName-325','EventsDescription-325');
INSERT INTO BES.Events VALUES(326,'EventsName-326','EventsDescription-326');
INSERT INTO BES.Events VALUES(327,'EventsName-327','EventsDescription-327');
INSERT INTO BES.Events VALUES(328,'EventsName-328','EventsDescription-328');
INSERT INTO BES.Events VALUES(329,'EventsName-329','EventsDescription-329');
INSERT INTO BES.Events VALUES(330,'EventsName-330','EventsDescription-330');
INSERT INTO BES.Events VALUES(331,'EventsName-331','EventsDescription-331');
INSERT INTO BES.Events VALUES(332,'EventsName-332','EventsDescription-332');
INSERT INTO BES.Events VALUES(333,'EventsName-333','EventsDescription-333');
INSERT INTO BES.Events VALUES(334,'EventsName-334','EventsDescription-334');
INSERT INTO BES.Events VALUES(335,'EventsName-335','EventsDescription-335');
INSERT INTO BES.Events VALUES(336,'EventsName-336','EventsDescription-336');
INSERT INTO BES.Events VALUES(337,'EventsName-337','EventsDescription-337');
INSERT INTO BES.Events VALUES(338,'EventsName-338','EventsDescription-338');
INSERT INTO BES.Events VALUES(339,'EventsName-339','EventsDescription-339');
INSERT INTO BES.Events VALUES(340,'EventsName-340','EventsDescription-340');
INSERT INTO BES.Events VALUES(341,'EventsName-341','EventsDescription-341');
INSERT INTO BES.Events VALUES(342,'EventsName-342','EventsDescription-342');
INSERT INTO BES.Events VALUES(343,'EventsName-343','EventsDescription-343');
INSERT INTO BES.Events VALUES(344,'EventsName-344','EventsDescription-344');
INSERT INTO BES.Events VALUES(345,'EventsName-345','EventsDescription-345');
INSERT INTO BES.Events VALUES(346,'EventsName-346','EventsDescription-346');
INSERT INTO BES.Events VALUES(347,'EventsName-347','EventsDescription-347');
INSERT INTO BES.Events VALUES(348,'EventsName-348','EventsDescription-348');
INSERT INTO BES.Events VALUES(349,'EventsName-349','EventsDescription-349');
INSERT INTO BES.Events VALUES(350,'EventsName-350','EventsDescription-350');
INSERT INTO BES.Events VALUES(351,'EventsName-351','EventsDescription-351');
INSERT INTO BES.Events VALUES(352,'EventsName-352','EventsDescription-352');
INSERT INTO BES.Events VALUES(353,'EventsName-353','EventsDescription-353');
INSERT INTO BES.Events VALUES(354,'EventsName-354','EventsDescription-354');
INSERT INTO BES.Events VALUES(355,'EventsName-355','EventsDescription-355');
INSERT INTO BES.Events VALUES(356,'EventsName-356','EventsDescription-356');
INSERT INTO BES.Events VALUES(357,'EventsName-357','EventsDescription-357');
INSERT INTO BES.Events VALUES(358,'EventsName-358','EventsDescription-358');
INSERT INTO BES.Events VALUES(359,'EventsName-359','EventsDescription-359');
INSERT INTO BES.Events VALUES(360,'EventsName-360','EventsDescription-360');
INSERT INTO BES.Events VALUES(361,'EventsName-361','EventsDescription-361');
INSERT INTO BES.Events VALUES(362,'EventsName-362','EventsDescription-362');
INSERT INTO BES.Events VALUES(363,'EventsName-363','EventsDescription-363');
INSERT INTO BES.Events VALUES(364,'EventsName-364','EventsDescription-364');
INSERT INTO BES.Events VALUES(365,'EventsName-365','EventsDescription-365');
INSERT INTO BES.Events VALUES(366,'EventsName-366','EventsDescription-366');
INSERT INTO BES.Events VALUES(367,'EventsName-367','EventsDescription-367');
INSERT INTO BES.Events VALUES(368,'EventsName-368','EventsDescription-368');
INSERT INTO BES.Events VALUES(369,'EventsName-369','EventsDescription-369');
INSERT INTO BES.Events VALUES(370,'EventsName-370','EventsDescription-370');
INSERT INTO BES.Events VALUES(371,'EventsName-371','EventsDescription-371');
INSERT INTO BES.Events VALUES(372,'EventsName-372','EventsDescription-372');
INSERT INTO BES.Events VALUES(373,'EventsName-373','EventsDescription-373');
INSERT INTO BES.Events VALUES(374,'EventsName-374','EventsDescription-374');
INSERT INTO BES.Events VALUES(375,'EventsName-375','EventsDescription-375');
INSERT INTO BES.Events VALUES(376,'EventsName-376','EventsDescription-376');
INSERT INTO BES.Events VALUES(377,'EventsName-377','EventsDescription-377');
